pressure: 1015.933, temp: -0.3053938,  time: 6528.384
pressure: 1016.181, temp: -0.3053938,  time: 6541.855
pressure: 1015.933, temp: -0.3053938,  time: 6555.313
pressure: 1016.181, temp: -0.3053938,  time: 6568.809
pressure: 1015.857, temp: -0.3445683,  time: 6582.329
pressure: 1015.608, temp: -0.3445683,  time: 6595.88
pressure: 1015.933, temp: -0.3053938,  time: 6609.356
pressure: 1015.933, temp: -0.3053938,  time: 6622.843
pressure: 1016.105, temp: -0.3445683,  time: 6636.318
pressure: 1015.894, temp: -0.3249807,  time: 6649.793
pressure: 1016.143, temp: -0.3249807,  time: 6663.33
pressure: 1015.857, temp: -0.3445683,  time: 6676.829
pressure: 1015.646, temp: -0.3249807,  time: 6690.302
pressure: 1015.857, temp: -0.3445683,  time: 6703.775
pressure: 1015.608, temp: -0.3445683,  time: 6717.268
pressure: 1016.143, temp: -0.3249807,  time: 6730.746
